	ZMT Publications 1991-2016										
											
No	Title	Author	Year	Longitude	Latitude	Pages	Num Pages	DOI	Volume	Issue	Publisher
1	Coastal Aquaculture,mangrove,deforestation and blue carbon emission: is REDD plus a solution?	Ahmed,N..,Glaser,M.	2016	8,84598	53,10802	9	58-66	10.1016/j.marpol.2016.01.011	66		ELSEVIER
2	Life-history, movement, and habitat use of Scylla serrata (Decapoda, Portunidae): current knowledge and future challenges	Alberts-Hubatsch,H..,LEE,S.Y..,Meynecke,J.-O..,Diele,K..,Nordhaus,I..,Wolff,M. 	2016	8,84598	53,10802	16	5-21	10.1007/s10750-015-2393-z	763		Hydrobiologia
3	A critical review of the follow-the-innovation approach: Stakeholder collaboration and agricultural innovation development.	Amankwah, K., Shtaltovna, A., Kelbor, G., Hornidge, A.-K	2016	32,567764	0,337168	14	35-49		1		African Journal of Rural Development
4	Co-culture of sea cucumber Holothuria scabra and red seaweed Kappaphycus striatum	Beltran-Gutierrez, M., Ferse, S.C.A., Kunzmann, A., Stead, S., Msuya, F., Hoffmeister, T., Slater, M	2016	8,84598	53,10802	10	1549-1559	10.1111/are.12615	47	5	Aquaculture Research 
5	Have the fishing communities of Zanzibar Island benefited from increasing tourism development?	Benansio, J.S., Wolff, M., Breckwoldt, A., Jiddawi, N. 	2016	39,192143	-6,158305	12	95-107 	10.5897/JDAE2016-0727	8	5	Journal of Development and Agricultural Economics 
6	Budget of primary production and dinitrogen fixation in a highly seasonal Red Sea coral reef. 	Cardini, U., Bednarz, V.N., van Hoytema, N., Rovere, A., Naumann, M.S., Al-Rshaidat, M.M.D., Wild, C. 	2016	8,84598	53,10802	14	 771–785	10.1007/s10021-016-9966-1	19	5	Ecosystems
7	Drones as tool for monitoring beach topography changes in the Lingurian Sea (NW Mediterranean)	Casella, E., Rovere, A., Pedroncini, A., Stark, C.P., Casella, M., Ferrari, M., Firpo, M	2016	8,84598	53,10802	12	151-163	10.1007/s00367-016-0435-9	36	2	Geo-Marine Letters 
8	Mariculture-inducted introduction of cobia Rachycentron canadum (Linnaeus, 1766), a large predatory fish, in the Tropical Eastern Pacific	Castellanos-Galindo, G.A., Baos, R., Zapata	2016	8,84598	53,10802	4	55-58	 10.3391/bir.2016.5.1.10	5	1	BioInvasions Records 
9	Influence of hydrodynamic energy on Holocene reef flat accretion, Great Barrier Reef. 	Dechnik, B., Webster, J.M., Nothdurft, L., Webb, G.E., Zhao, J-x., Duce, S., Braga, J.C., Harris, D.L., Vila-Concejo, A., Puotine, M. 	2016	151,189674	-33,888606	9	44-53	10.1016/j.yqres.2015.11.002	85	1	Quaternary Research
10	Soft Corals Biodiversity in the Egyptian Red Sea: A Comparative MS and NMR Metabolomics Approach of Wild and Aquarium Grown Species	Farang, M.A., Porzel, A., Al-Hammady, M.A., Hegazy, M.-E. F., Meyer, A., Mohamed, T.A., Westphal, H., Wessjohann	2016	31,206815	30,022395	13	1274-1287	10.1021/acs.jproteome.6b00002	15	4	Journal of Proteome Research 
11	Remote sensing of coral reefs for monitoring and management: a review	Hedley, J.D., Roelfsema, C.M., Chollett, I., Harborne, A.R., Heron, S.F., Weeks, S., Skirving, W.W., Strong, A.E., Eakin, C.M., Christensen, T.R.L., Ticzon, V., Bejarano, S., Mumby, P.J. 	2016	153,01203	-27,495431	40		10.3390/rs8020118	8	2	Remote Sensing 
