Date,Time,Latitude,Longitude,Wind (km/h),Pressure (mb),Storm Type,Category,Name
Aug.30,15:00 GMT,16.4,-30.3,85,1004,Tropical Storm,-,Irma
Aug.30,21:00 GMT,16.4,-31.2,95,1001,Tropical Storm,-,Irma
Aug.31,03:00 GMT,16.4,-32.2,100,999,Tropical Storm,-,Irma
Aug.31,09:00 GMT,16.5,-32.9,110,997,Tropical Storm,-,Irma
Aug.31,15:00 GMT,16.9,-33.8,155,979,Hurricane,2,Irma
Aug.31,21:00 GMT,17.3,-34.8,185,967,Hurricane,3,Irma
Sep.01,03:00 GMT,17.8,-35.6,185,967,Hurricane,3,Irma
Sep.01,09:00 GMT,18.2,-36.5,185,967,Hurricane,3,Irma
Sep.01,15:00 GMT,18.5,-37.8,175,972,Hurricane,2,Irma
Sep.01,21:00 GMT,18.8,-39.1,195,964,Hurricane,3,Irma
Sep.02,03:00 GMT,19.1,-40.5,185,967,Hurricane,3,Irma
Sep.02,09:00 GMT,19,-41.8,175,970,Hurricane,2,Irma
Sep.02,15:00 GMT,18.8,-43.3,175,973,Hurricane,2,Irma
Sep.02,21:00 GMT,18.5,-44.6,175,973,Hurricane,2,Irma
Sep.03,03:00 GMT,18.3,-46.2,175,973,Hurricane,2,Irma
Sep.03,09:00 GMT,18,-47.5,185,969,Hurricane,3,Irma
Sep.03,15:00 GMT,17.7,-48.4,185,969,Hurricane,3,Irma
Sep.03,21:00 GMT,17.6,-49.8,185,969,Hurricane,3,Irma
Sep.04,00:00 GMT,17.4,-50.3,185,959,Hurricane,3,Irma
Sep.04,03:00 GMT,17.2,-51,185,961,Hurricane,3,Irma
Sep.04,06:00 GMT,17,-51.5,185,961,Hurricane,3,Irma
Sep.04,09:00 GMT,16.9,-52.3,185,961,Hurricane,3,Irma
Sep.04,12:00 GMT,16.8,-52.6,195,947,Hurricane,3,Irma
Sep.04,15:00 GMT,16.8,-53.3,195,944,Hurricane,3,Irma
Sep.04,18:00 GMT,16.7,-53.8,195,944,Hurricane,3,Irma
Sep.04,21:00 GMT,16.7,-54.4,215,944,Hurricane,4,Irma
Sep.05,00:00 GMT,16.7,-55,220,943,Hurricane,4,Irma
Sep.05,03:00 GMT,16.7,-55.6,220,943,Hurricane,4,Irma
Sep.05,06:00 GMT,16.6,-56.4,230,939,Hurricane,4,Irma
Sep.05,09:00 GMT,16.6,-57,240,937,Hurricane,4,Irma
Sep.05,11:45 GMT,16.7,-57.7,280,929,Hurricane,5,Irma
Sep.05,12:00 GMT,16.7,-57.7,280,929,Hurricane,5,Irma
Sep.05,15:00 GMT,16.8,-58.4,285,931,Hurricane,5,Irma
Sep.05,18:00 GMT,16.9,-59.1,295,926,Hurricane,5,Irma
Sep.05,21:00 GMT,17.1,-59.8,295,926,Hurricane,5,Irma
Sep.06,00:00 GMT,17.2,-60.5,295,916,Hurricane,5,Irma
Sep.06,00:15 GMT,17.2,-60.5,295,916,Hurricane,5,Irma
